人 士
节拍 拍子
灰尘 灰
灰烬 烬
浮土 浮尘
征尘 风尘
烟尘 尘烟
烟尘 黄埃
炉灰 烟灰
污垢 污
泥垢 尘垢
水垢 牙垢
血污 油污
纹路 纹
皱纹 皱
指纹 螺纹
波纹 抬头纹
花纹 条纹
白斑 黑斑
痕迹 印痕
手印 手模
踪迹 踪
足迹 脚印
血迹 血印
油迹 油渍
字迹 笔迹
汗斑 汗碱
道子 道
伤痕 创痕
瘢痕 瘢
裂痕 裂璺
车辙 轨辙
深痕 焦痕
旧迹 锈迹
水印 火印
生命线 肌理
树木 树
果树 果木
树林 林
树行子 林带
松林 松树
海松 红松
